Request for Initial Thesis Defense, طلب مناقشة مبدئية,
Initial Thesis Defense, مناقشة مبدئية,
Send to Director of Graduate Studies,إرسال إلى مدير الدراسات العليا,
Archivist,الأرشيف,
Director of Graduate Studies,مدير الدراسات العليا,
No One for Rejected Request,لا أحد لطلب الرفض,
The File Pending Delivery by the Archivist,الملف في انتظار التسليم من قبل أمين الأرشيف,
Approval Pending by Director of Graduate Studies,موافقة مدير الدراسات العليا في انتظار,
Clear,مسح,
Not Paid,ليست مدفوعة,
Paid,مدفوعة,
Two Semesters,ترمين,
Semester,ترم,
College Council Head,رئيس مجلس الكلية,
College Dean,عميد الكلية,
Department Council Head,رئيس مجلس القسم,
Department Head,رئيس القسم,
Vice Dean For GSA,نائب عميد الدراسات العليا,
Draft,مسودة,
Rejected by College Council,تم الرفض من مجلس الكلية,
Approved by College Dean,تمت الموافقة من عميد الكلية,
Rejected by College Dean,تم الرفض من عميد الكلية,
Rejected by Department Council,تم الرفض من مجلس القسم,
Rejected by Department Head,تم الرفض من رئيس القسم,
Rejected by Vice Dean for GSA,تم الرفض من نائب العميد للدراسات العليا,
Approved by College Council,تمت الموافقة من مجلس الكلية,
Approval Pending by College Council,في انتظار مصادقة مجلس الكلية,
Send to College Council,إرسال لمجلس الكلية,
Approval Pending by College Dean,في انتظار مصادقة عميد الكلية,
Approval Pending by Department Council,في انتظار مصادقة مجلس القسم,
Send to College Dean,إرسال لعميد الكلية,
Send to Department Council,إرسال لمجلس القسم,
Approval Pending by Department Head,في انتظار مصادقة رئيس القسم,
Approval Pending by Vice Dean for GSA,في انتظار مصادقة نائب العميد للدراسات العليا,
Reject,رفض,
Send to Department Head,إرسال لرئيس القسم,
Confirm,تأكيد,
Can't add a suspend enrollment request, because you have an active withdrawal request (,لا يمكن إضافة طلب وقف القيد، لأن لديك طلب إنسحاب نشط (,
Can't add a suspend enrollment request, because you have an active continue enrollment request (,لا يمكن إضافة طلب وقف القيد، لأن لديك طلب فتح القيد نشط (,
